;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/6/2010 11:21:07 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0824	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0826	0x0A2A      	XORLW       42
0x0828	0xE110      	BNZ         L_printChar178
0x082A	0x0EE3      	MOVLW       _letter_ASTERISK
0x082C	0x2401      	ADDWF       R1, 0 
0x082E	0x6EF6      	MOVWF       4086 
0x0830	0x0E15      	MOVLW       hi_addr(_letter_ASTERISK)
0x0832	0x2002      	ADDWFC      R2, 0 
0x0834	0x6EF7      	MOVWF       TBLPTRH 
0x0836	0x0E00      	MOVLW       higher_addr(_letter_ASTERISK)
0x0838	0x6EF8      	MOVWF       TBLPTRU 
0x083A	0x0E00      	MOVLW       0
0x083C	0xBE02      	BTFSC       R2, 7 
0x083E	0x0EFF      	MOVLW       255
0x0840	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0842	0x0009      	TBLRD*+
0x0844	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0848	0xD1FD      	BRA         L_printChar179
L_printChar178:
;pov++.c,521 :: 		else if(letter == '(') PORTA = letter_LEFT_PAREN[n];
0x084A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x084C	0x0A28      	XORLW       40
0x084E	0xE110      	BNZ         L_printChar180
0x0850	0x0EEB      	MOVLW       _letter_LEFT_PAREN
0x0852	0x2401      	ADDWF       R1, 0 
0x0854	0x6EF6      	MOVWF       4086 
0x0856	0x0E15      	MOVLW       hi_addr(_letter_LEFT_PAREN)
0x0858	0x2002      	ADDWFC      R2, 0 
0x085A	0x6EF7      	MOVWF       TBLPTRH 
0x085C	0x0E00      	MOVLW       higher_addr(_letter_LEFT_PAREN)
0x085E	0x6EF8      	MOVWF       TBLPTRU 
0x0860	0x0E00      	MOVLW       0
0x0862	0xBE02      	BTFSC       R2, 7 
0x0864	0x0EFF      	MOVLW       255
0x0866	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0868	0x0009      	TBLRD*+
0x086A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x086E	0xD1EA      	BRA         L_printChar181
L_printChar180:
;pov++.c,522 :: 		else if(letter == ')') PORTA = letter_RIGHT_PAREN[n];
0x0870	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0872	0x0A29      	XORLW       41
0x0874	0xE110      	BNZ         L_printChar182
0x0876	0x0E93      	MOVLW       _letter_RIGHT_PAREN
0x0878	0x2401      	ADDWF       R1, 0 
0x087A	0x6EF6      	MOVWF       4086 
0x087C	0x0E15      	MOVLW       hi_addr(_letter_RIGHT_PAREN)
0x087E	0x2002      	ADDWFC      R2, 0 
0x0880	0x6EF7      	MOVWF       TBLPTRH 
0x0882	0x0E00      	MOVLW       higher_addr(_letter_RIGHT_PAREN)
0x0884	0x6EF8      	MOVWF       TBLPTRU 
0x0886	0x0E00      	MOVLW       0
0x0888	0xBE02      	BTFSC       R2, 7 
0x088A	0x0EFF      	MOVLW       255
0x088C	0x22F8      	ADDWFC      TBLPTRU, 1 
0x088E	0x0009      	TBLRD*+
0x0890	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0894	0xD1D7      	BRA         L_printChar183
L_printChar182:
;pov++.c,523 :: 		else if(letter == '-') PORTA = letter_DASH[n];
0x0896	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0898	0x0A2D      	XORLW       45
0x089A	0xE110      	BNZ         L_printChar184
0x089C	0x0E9B      	MOVLW       _letter_DASH
0x089E	0x2401      	ADDWF       R1, 0 
0x08A0	0x6EF6      	MOVWF       4086 
0x08A2	0x0E15      	MOVLW       hi_addr(_letter_DASH)
0x08A4	0x2002      	ADDWFC      R2, 0 
0x08A6	0x6EF7      	MOVWF       TBLPTRH 
0x08A8	0x0E00      	MOVLW       higher_addr(_letter_DASH)
0x08AA	0x6EF8      	MOVWF       TBLPTRU 
0x08AC	0x0E00      	MOVLW       0
0x08AE	0xBE02      	BTFSC       R2, 7 
0x08B0	0x0EFF      	MOVLW       255
0x08B2	0x22F8      	ADDWFC      TBLPTRU, 1 
0x08B4	0x0009      	TBLRD*+
0x08B6	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x08BA	0xD1C4      	BRA         L_printChar185
L_printChar184:
;pov++.c,524 :: 		else if(letter == '_') PORTA = letter_UNDERSCORE[n];
0x08BC	0x501D      	MOVF        FARG_printChar_letter, 0 
0x08BE	0x0A5F      	XORLW       95
0x08C0	0xE110      	BNZ         L_printChar186
0x08C2	0x0E83      	MOVLW       _letter_UNDERSCORE
0x08C4	0x2401      	ADDWF       R1, 0 
0x08C6	0x6EF6      	MOVWF       4086 
0x08C8	0x0E15      	MOVLW       hi_addr(_letter_UNDERSCORE)
0x08CA	0x2002      	ADDWFC      R2, 0 
0x08CC	0x6EF7      	MOVWF       TBLPTRH 
0x08CE	0x0E00      	MOVLW       higher_addr(_letter_UNDERSCORE)
0x08D0	0x6EF8      	MOVWF       TBLPTRU 
0x08D2	0x0E00      	MOVLW       0
0x08D4	0xBE02      	BTFSC       R2, 7 
0x08D6	0x0EFF      	MOVLW       255
0x08D8	0x22F8      	ADDWFC      TBLPTRU, 1 
0x08DA	0x0009      	TBLRD*+
0x08DC	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x08E0	0xD1B1      	BRA         L_printChar187
L_printChar186:
;pov++.c,525 :: 		else if(letter == '+') PORTA = letter_PLUS[n];
0x08E2	0x501D      	MOVF        FARG_printChar_letter, 0 
0x08E4	0x0A2B      	XORLW       43
0x08E6	0xE110      	BNZ         L_printChar188
0x08E8	0x0E8B      	MOVLW       _letter_PLUS
0x08EA	0x2401      	ADDWF       R1, 0 
0x08EC	0x6EF6      	MOVWF       4086 
0x08EE	0x0E15      	MOVLW       hi_addr(_letter_PLUS)
0x08F0	0x2002      	ADDWFC      R2, 0 
0x08F2	0x6EF7      	MOVWF       TBLPTRH 
0x08F4	0x0E00      	MOVLW       higher_addr(_letter_PLUS)
0x08F6	0x6EF8      	MOVWF       TBLPTRU 
0x08F8	0x0E00      	MOVLW       0
0x08FA	0xBE02      	BTFSC       R2, 7 
0x08FC	0x0EFF      	MOVLW       255
0x08FE	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0900	0x0009      	TBLRD*+
0x0902	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0906	0xD19E      	BRA         L_printChar189
L_printChar188:
;pov++.c,526 :: 		else if(letter == '=') PORTA = letter_EQUALS[n];
0x0908	0x501D      	MOVF        FARG_printChar_letter, 0 
0x090A	0x0A3D      	XORLW       61
0x090C	0xE110      	BNZ         L_printChar190
0x090E	0x0EB3      	MOVLW       _letter_EQUALS
0x0910	0x2401      	ADDWF       R1, 0 
0x0912	0x6EF6      	MOVWF       4086 
0x0914	0x0E15      	MOVLW       hi_addr(_letter_EQUALS)
0x0916	0x2002      	ADDWFC      R2, 0 
0x0918	0x6EF7      	MOVWF       TBLPTRH 
0x091A	0x0E00      	MOVLW       higher_addr(_letter_EQUALS)
0x091C	0x6EF8      	MOVWF       TBLPTRU 
0x091E	0x0E00      	MOVLW       0
0x0920	0xBE02      	BTFSC       R2, 7 
0x0922	0x0EFF      	MOVLW       255
0x0924	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0926	0x0009      	TBLRD*+
0x0928	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x092C	0xD18B      	BRA         L_printChar191
L_printChar190:
;pov++.c,527 :: 		else if(letter == '~') PORTA = letter_TILDE[n];
0x092E	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0930	0x0A7E      	XORLW       126
0x0932	0xE110      	BNZ         L_printChar192
0x0934	0x0EBB      	MOVLW       _letter_TILDE
0x0936	0x2401      	ADDWF       R1, 0 
0x0938	0x6EF6      	MOVWF       4086 
0x093A	0x0E15      	MOVLW       hi_addr(_letter_TILDE)
0x093C	0x2002      	ADDWFC      R2, 0 
0x093E	0x6EF7      	MOVWF       TBLPTRH 
0x0940	0x0E00      	MOVLW       higher_addr(_letter_TILDE)
0x0942	0x6EF8      	MOVWF       TBLPTRU 
0x0944	0x0E00      	MOVLW       0
0x0946	0xBE02      	BTFSC       R2, 7 
0x0948	0x0EFF      	MOVLW       255
0x094A	0x22F8      	ADDWFC      TBLPTRU, 1 
0x094C	0x0009      	TBLRD*+
0x094E	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0952	0xD178      	BRA         L_printChar193
L_printChar192:
;pov++.c,528 :: 		else if(letter == '`') PORTA = letter_TICK[n];
0x0954	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0956	0x0A60      	XORLW       96
0x0958	0xE110      	BNZ         L_printChar194
0x095A	0x0EA3      	MOVLW       _letter_TICK
0x095C	0x2401      	ADDWF       R1, 0 
0x095E	0x6EF6      	MOVWF       4086 
0x0960	0x0E15      	MOVLW       hi_addr(_letter_TICK)
0x0962	0x2002      	ADDWFC      R2, 0 
0x0964	0x6EF7      	MOVWF       TBLPTRH 
0x0966	0x0E00      	MOVLW       higher_addr(_letter_TICK)
0x0968	0x6EF8      	MOVWF       TBLPTRU 
0x096A	0x0E00      	MOVLW       0
0x096C	0xBE02      	BTFSC       R2, 7 
0x096E	0x0EFF      	MOVLW       255
0x0970	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0972	0x0009      	TBLRD*+
0x0974	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0978	0xD165      	BRA         L_printChar195
L_printChar194:
;pov++.c,529 :: 		else if(letter == ':') PORTA = letter_COLON[n];
0x097A	0x501D      	MOVF        FARG_printChar_letter, 0 
0x097C	0x0A3A      	XORLW       58
0x097E	0xE110      	BNZ         L_printChar196
0x0980	0x0EAB      	MOVLW       _letter_COLON
0x0982	0x2401      	ADDWF       R1, 0 
0x0984	0x6EF6      	MOVWF       4086 
0x0986	0x0E15      	MOVLW       hi_addr(_letter_COLON)
0x0988	0x2002      	ADDWFC      R2, 0 
0x098A	0x6EF7      	MOVWF       TBLPTRH 
0x098C	0x0E00      	MOVLW       higher_addr(_letter_COLON)
0x098E	0x6EF8      	MOVWF       TBLPTRU 
0x0990	0x0E00      	MOVLW       0
0x0992	0xBE02      	BTFSC       R2, 7 
0x0994	0x0EFF      	MOVLW       255
0x0996	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0998	0x0009      	TBLRD*+
0x099A	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x099E	0xD152      	BRA         L_printChar197
L_printChar196:
;pov++.c,530 :: 		else if(letter == ';') PORTA = letter_SEMICOLON[n];
0x09A0	0x501D      	MOVF        FARG_printChar_letter, 0 
0x09A2	0x0A3B      	XORLW       59
0x09A4	0xE110      	BNZ         L_printChar198
0x09A6	0x0E03      	MOVLW       _letter_SEMICOLON
0x09A8	0x2401      	ADDWF       R1, 0 
0x09AA	0x6EF6      	MOVWF       4086 
0x09AC	0x0E16      	MOVLW       hi_addr(_letter_SEMICOLON)
0x09AE	0x2002      	ADDWFC      R2, 0 
0x09B0	0x6EF7      	MOVWF       TBLPTRH 
0x09B2	0x0E00      	MOVLW       higher_addr(_letter_SEMICOLON)
0x09B4	0x6EF8      	MOVWF       TBLPTRU 
0x09B6	0x0E00      	MOVLW       0
0x09B8	0xBE02      	BTFSC       R2, 7 
0x09BA	0x0EFF      	MOVLW       255
0x09BC	0x22F8      	ADDWFC      TBLPTRU, 1 
0x09BE	0x0009      	TBLRD*+
0x09C0	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x09C4	0xD13F      	BRA         L_printChar199
L_printChar198:
;pov++.c,531 :: 		else if(letter == 92 ) PORTA = letter_BACK_SLASH[n];
0x09C6	0x501D      	MOVF        FARG_printChar_letter, 0 
0x09C8	0x0A5C      	XORLW       92
0x09CA	0xE110      	BNZ         L_printChar200
0x09CC	0x0E5B      	MOVLW       _letter_BACK_SLASH
0x09CE	0x2401      	ADDWF       R1, 0 
0x09D0	0x6EF6      	MOVWF       4086 
0x09D2	0x0E16      	MOVLW       hi_addr(_letter_BACK_SLASH)
0x09D4	0x2002      	ADDWFC      R2, 0 
0x09D6	0x6EF7      	MOVWF       TBLPTRH 
0x09D8	0x0E00      	MOVLW       higher_addr(_letter_BACK_SLASH)
0x09DA	0x6EF8      	MOVWF       TBLPTRU 
0x09DC	0x0E00      	MOVLW       0
0x09DE	0xBE02      	BTFSC       R2, 7 
0x09E0	0x0EFF      	MOVLW       255
0x09E2	0x22F8      	ADDWFC      TBLPTRU, 1 
0x09E4	0x0009      	TBLRD*+
0x09E6	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x09EA	0xD12C      	BRA         L_printChar201
L_printChar200:
;pov++.c,532 :: 		else if(letter == '/') PORTA = letter_FORWARD_SLASH[n];
0x09EC	0x501D      	MOVF        FARG_printChar_letter, 0 
0x09EE	0x0A2F      	XORLW       47
0x09F0	0xE110      	BNZ         L_printChar202
0x09F2	0x0E63      	MOVLW       _letter_FORWARD_SLASH
0x09F4	0x2401      	ADDWF       R1, 0 
0x09F6	0x6EF6      	MOVWF       4086 
0x09F8	0x0E16      	MOVLW       hi_addr(_letter_FORWARD_SLASH)
0x09FA	0x2002      	ADDWFC      R2, 0 
0x09FC	0x6EF7      	MOVWF       TBLPTRH 
0x09FE	0x0E00      	MOVLW       higher_addr(_letter_FORWARD_SLASH)
0x0A00	0x6EF8      	MOVWF       TBLPTRU 
0x0A02	0x0E00      	MOVLW       0
0x0A04	0xBE02      	BTFSC       R2, 7 
0x0A06	0x0EFF      	MOVLW       255
0x0A08	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0A0A	0x0009      	TBLRD*+
0x0A0C	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0A10	0xD119      	BRA         L_printChar203
L_printChar202:
;pov++.c,533 :: 		else if(letter == '<') PORTA = letter_LEFT_CHEVRON[n];
0x0A12	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0A14	0x0A3C      	XORLW       60
0x0A16	0xE110      	BNZ         L_printChar204
0x0A18	0x0E4B      	MOVLW       _letter_LEFT_CHEVRON
0x0A1A	0x2401      	ADDWF       R1, 0 
0x0A1C	0x6EF6      	MOVWF       4086 
0x0A1E	0x0E16      	MOVLW       hi_addr(_letter_LEFT_CHEVRON)
0x0A20	0x2002      	ADDWFC      R2, 0 
0x0A22	0x6EF7      	MOVWF       TBLPTRH 
0x0A24	0x0E00      	MOVLW       higher_addr(_letter_LEFT_CHEVRON)
0x0A26	0x6EF8      	MOVWF       TBLPTRU 
0x0A28	0x0E00      	MOVLW       0
0x0A2A	0xBE02      	BTFSC       R2, 7 
0x0A2C	0x0EFF      	MOVLW       255
0x0A2E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0A30	0x0009      	TBLRD*+
0x0A32	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0A36	0xD106      	BRA         L_printChar205
L_printChar204:
;pov++.c,534 :: 		else if(letter == '>') PORTA = letter_RIGHT_CHEVRON[n];
0x0A38	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0A3A	0x0A3E      	XORLW       62
0x0A3C	0xE110      	BNZ         L_printChar206
0x0A3E	0x0E53      	MOVLW       _letter_RIGHT_CHEVRON
0x0A40	0x2401      	ADDWF       R1, 0 
0x0A42	0x6EF6      	MOVWF       4086 
0x0A44	0x0E16      	MOVLW       hi_addr(_letter_RIGHT_CHEVRON)
0x0A46	0x2002      	ADDWFC      R2, 0 
0x0A48	0x6EF7      	MOVWF       TBLPTRH 
0x0A4A	0x0E00      	MOVLW       higher_addr(_letter_RIGHT_CHEVRON)
0x0A4C	0x6EF8      	MOVWF       TBLPTRU 
0x0A4E	0x0E00      	MOVLW       0
0x0A50	0xBE02      	BTFSC       R2, 7 
0x0A52	0x0EFF      	MOVLW       255
0x0A54	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0A56	0x0009      	TBLRD*+
0x0A58	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0A5C	0xD0F3      	BRA         L_printChar207
L_printChar206:
;pov++.c,535 :: 		else if(letter ==  9 ) PORTA = letter_TAB[n];    // The tab character makes a solid block.
0x0A5E	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0A60	0x0A09      	XORLW       9
0x0A62	0xE110      	BNZ         L_printChar208
0x0A64	0x0E7B      	MOVLW       _letter_TAB
0x0A66	0x2401      	ADDWF       R1, 0 
0x0A68	0x6EF6      	MOVWF       4086 
0x0A6A	0x0E16      	MOVLW       hi_addr(_letter_TAB)
0x0A6C	0x2002      	ADDWFC      R2, 0 
0x0A6E	0x6EF7      	MOVWF       TBLPTRH 
0x0A70	0x0E00      	MOVLW       higher_addr(_letter_TAB)
0x0A72	0x6EF8      	MOVWF       TBLPTRU 
0x0A74	0x0E00      	MOVLW       0
0x0A76	0xBE02      	BTFSC       R2, 7 
0x0A78	0x0EFF      	MOVLW       255
0x0A7A	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0A7C	0x0009      	TBLRD*+
0x0A7E	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0A82	0xD0E0      	BRA         L_printChar209
L_printChar208:
;pov++.c,536 :: 		else if(letter == '[' ) PORTA = letter_LEFT_BRACKET[n];
0x0A84	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0A86	0x0A5B      	XORLW       91
0x0A88	0xE110      	BNZ         L_printChar210
0x0A8A	0x0E83      	MOVLW       _letter_LEFT_BRACKET
0x0A8C	0x2401      	ADDWF       R1, 0 
0x0A8E	0x6EF6      	MOVWF       4086 
0x0A90	0x0E16      	MOVLW       hi_addr(_letter_LEFT_BRACKET)
0x0A92	0x2002      	ADDWFC      R2, 0 
0x0A94	0x6EF7      	MOVWF       TBLPTRH 
0x0A96	0x0E00      	MOVLW       higher_addr(_letter_LEFT_BRACKET)
0x0A98	0x6EF8      	MOVWF       TBLPTRU 
0x0A9A	0x0E00      	MOVLW       0
0x0A9C	0xBE02      	BTFSC       R2, 7 
0x0A9E	0x0EFF      	MOVLW       255
0x0AA0	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0AA2	0x0009      	TBLRD*+
0x0AA4	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0AA8	0xD0CD      	BRA         L_printChar211
L_printChar210:
;pov++.c,537 :: 		else if(letter == ']' ) PORTA = letter_RIGHT_BRACKET[n];
0x0AAA	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0AAC	0x0A5D      	XORLW       93
0x0AAE	0xE110      	BNZ         L_printChar212
0x0AB0	0x0E6B      	MOVLW       _letter_RIGHT_BRACKET
0x0AB2	0x2401      	ADDWF       R1, 0 
0x0AB4	0x6EF6      	MOVWF       4086 
0x0AB6	0x0E16      	MOVLW       hi_addr(_letter_RIGHT_BRACKET)
0x0AB8	0x2002      	ADDWFC      R2, 0 
0x0ABA	0x6EF7      	MOVWF       TBLPTRH 
0x0ABC	0x0E00      	MOVLW       higher_addr(_letter_RIGHT_BRACKET)
0x0ABE	0x6EF8      	MOVWF       TBLPTRU 
0x0AC0	0x0E00      	MOVLW       0
0x0AC2	0xBE02      	BTFSC       R2, 7 
0x0AC4	0x0EFF      	MOVLW       255
0x0AC6	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0AC8	0x0009      	TBLRD*+
0x0ACA	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0ACE	0xD0BA      	BRA         L_printChar213
L_printChar212:
;pov++.c,538 :: 		else if(letter == ' ') PORTA = letter_SPC[n];
0x0AD0	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0AD2	0x0A20      	XORLW       32
0x0AD4	0xE110      	BNZ         L_printChar214
0x0AD6	0x0E73      	MOVLW       _letter_SPC
0x0AD8	0x2401      	ADDWF       R1, 0 
0x0ADA	0x6EF6      	MOVWF       4086 
0x0ADC	0x0E16      	MOVLW       hi_addr(_letter_SPC)
0x0ADE	0x2002      	ADDWFC      R2, 0 
0x0AE0	0x6EF7      	MOVWF       TBLPTRH 
0x0AE2	0x0E00      	MOVLW       higher_addr(_letter_SPC)
0x0AE4	0x6EF8      	MOVWF       TBLPTRU 
0x0AE6	0x0E00      	MOVLW       0
0x0AE8	0xBE02      	BTFSC       R2, 7 
0x0AEA	0x0EFF      	MOVLW       255
0x0AEC	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0AEE	0x0009      	TBLRD*+
0x0AF0	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0AF4	0xD0A7      	BRA         L_printChar215
L_printChar214:
;pov++.c,539 :: 		else if(letter == 169) PORTA = letter_SMILIE[n]; // SMILIE WAS PLACED IN THE COPYRIGHT ASCII CHARACTER
0x0AF6	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0AF8	0x0AA9      	XORLW       169
0x0AFA	0xE110      	BNZ         L_printChar216
0x0AFC	0x0E1B      	MOVLW       _letter_SMILIE
0x0AFE	0x2401      	ADDWF       R1, 0 
0x0B00	0x6EF6      	MOVWF       4086 
0x0B02	0x0E16      	MOVLW       hi_addr(_letter_SMILIE)
0x0B04	0x2002      	ADDWFC      R2, 0 
0x0B06	0x6EF7      	MOVWF       TBLPTRH 
0x0B08	0x0E00      	MOVLW       higher_addr(_letter_SMILIE)
0x0B0A	0x6EF8      	MOVWF       TBLPTRU 
0x0B0C	0x0E00      	MOVLW       0
0x0B0E	0xBE02      	BTFSC       R2, 7 
0x0B10	0x0EFF      	MOVLW       255
0x0B12	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0B14	0x0009      	TBLRD*+
0x0B16	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0B1A	0xD094      	BRA         L_printChar217
L_printChar216:
;pov++.c,540 :: 		else if(letter == 174) PORTA = letter_HEART[n];  // HEART WAS PLACED IN THE REGISTERED TRADEMARK ASCII SYMBOL
0x0B1C	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0B1E	0x0AAE      	XORLW       174
0x0B20	0xE110      	BNZ         L_printChar218
0x0B22	0x0E23      	MOVLW       _letter_HEART
0x0B24	0x2401      	ADDWF       R1, 0 
0x0B26	0x6EF6      	MOVWF       4086 
0x0B28	0x0E16      	MOVLW       hi_addr(_letter_HEART)
0x0B2A	0x2002      	ADDWFC      R2, 0 
0x0B2C	0x6EF7      	MOVWF       TBLPTRH 
0x0B2E	0x0E00      	MOVLW       higher_addr(_letter_HEART)
0x0B30	0x6EF8      	MOVWF       TBLPTRU 
0x0B32	0x0E00      	MOVLW       0
0x0B34	0xBE02      	BTFSC       R2, 7 
0x0B36	0x0EFF      	MOVLW       255
0x0B38	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0B3A	0x0009      	TBLRD*+
0x0B3C	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0B40	0xD081      	BRA         L_printChar219
L_printChar218:
;pov++.c,541 :: 		else if(letter == '\n') PORTA = letter_newline[n];
0x0B42	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0B44	0x0A0A      	XORLW       10
0x0B46	0xE110      	BNZ         L_printChar220
0x0B48	0x0E0B      	MOVLW       _letter_newline
0x0B4A	0x2401      	ADDWF       R1, 0 
0x0B4C	0x6EF6      	MOVWF       4086 
0x0B4E	0x0E16      	MOVLW       hi_addr(_letter_newline)
0x0B50	0x2002      	ADDWFC      R2, 0 
0x0B52	0x6EF7      	MOVWF       TBLPTRH 
0x0B54	0x0E00      	MOVLW       higher_addr(_letter_newline)
0x0B56	0x6EF8      	MOVWF       TBLPTRU 
0x0B58	0x0E00      	MOVLW       0
0x0B5A	0xBE02      	BTFSC       R2, 7 
0x0B5C	0x0EFF      	MOVLW       255
0x0B5E	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0B60	0x0009      	TBLRD*+
0x0B62	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0B66	0xD06E      	BRA         L_printChar221
L_printChar220:
;pov++.c,542 :: 		else if(letter == 162) PORTA = letter_CENTS[n];  //cents symbol
0x0B68	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0B6A	0x0AA2      	XORLW       162
0x0B6C	0xE110      	BNZ         L_printChar222
0x0B6E	0x0E13      	MOVLW       _letter_CENTS
0x0B70	0x2401      	ADDWF       R1, 0 
0x0B72	0x6EF6      	MOVWF       4086 
0x0B74	0x0E16      	MOVLW       hi_addr(_letter_CENTS)
0x0B76	0x2002      	ADDWFC      R2, 0 
0x0B78	0x6EF7      	MOVWF       TBLPTRH 
0x0B7A	0x0E00      	MOVLW       higher_addr(_letter_CENTS)
0x0B7C	0x6EF8      	MOVWF       TBLPTRU 
0x0B7E	0x0E00      	MOVLW       0
0x0B80	0xBE02      	BTFSC       R2, 7 
0x0B82	0x0EFF      	MOVLW       255
0x0B84	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0B86	0x0009      	TBLRD*+
0x0B88	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0B8C	0xD05B      	BRA         L_printChar223
L_printChar222:
;pov++.c,543 :: 		else if(letter == 176) PORTA = letter_DEGREE[n]; //degree symbol
0x0B8E	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0B90	0x0AB0      	XORLW       176
0x0B92	0xE110      	BNZ         L_printChar224
0x0B94	0x0E3B      	MOVLW       _letter_DEGREE
0x0B96	0x2401      	ADDWF       R1, 0 
0x0B98	0x6EF6      	MOVWF       4086 
0x0B9A	0x0E16      	MOVLW       hi_addr(_letter_DEGREE)
0x0B9C	0x2002      	ADDWFC      R2, 0 
0x0B9E	0x6EF7      	MOVWF       TBLPTRH 
0x0BA0	0x0E00      	MOVLW       higher_addr(_letter_DEGREE)
0x0BA2	0x6EF8      	MOVWF       TBLPTRU 
0x0BA4	0x0E00      	MOVLW       0
0x0BA6	0xBE02      	BTFSC       R2, 7 
0x0BA8	0x0EFF      	MOVLW       255
0x0BAA	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0BAC	0x0009      	TBLRD*+
0x0BAE	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0BB2	0xD048      	BRA         L_printChar225
L_printChar224:
;pov++.c,544 :: 		else if(letter == 128) PORTA = letter_EURO[n];   //euro symbol
0x0BB4	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0BB6	0x0A80      	XORLW       128
0x0BB8	0xE110      	BNZ         L_printChar226
0x0BBA	0x0E43      	MOVLW       _letter_EURO
0x0BBC	0x2401      	ADDWF       R1, 0 
0x0BBE	0x6EF6      	MOVWF       4086 
0x0BC0	0x0E16      	MOVLW       hi_addr(_letter_EURO)
0x0BC2	0x2002      	ADDWFC      R2, 0 
0x0BC4	0x6EF7      	MOVWF       TBLPTRH 
0x0BC6	0x0E00      	MOVLW       higher_addr(_letter_EURO)
0x0BC8	0x6EF8      	MOVWF       TBLPTRU 
0x0BCA	0x0E00      	MOVLW       0
0x0BCC	0xBE02      	BTFSC       R2, 7 
0x0BCE	0x0EFF      	MOVLW       255
0x0BD0	0x22F8      	ADDWFC      TBLPTRU, 1 
0x0BD2	0x0009      	TBLRD*+
0x0BD4	0xFF80CFF5  	MOVFF       TABLAT, PORTA
0x0BD8	0xD035      	BRA         L_printChar227
L_printChar226:
;pov++.c,545 :: 		else if(letter == 182) PORTA = letter_PILCROW[n];//pilcrow paragraph symbol
0x0BDA	0x501D      	MOVF        FARG_printChar_letter, 0 
0x0BDC	0x0AB6      	XORLW       182
0x0BDE	0xE110      	BNZ         L_printChar228
0x0BE0	0x0E2B      	MOVLW       _letter_PILCROW
0x0BE2	0x2401      	ADDWF       R1, 0 
0x0BE4	0x6EF6      	MOVWF       4086 
0x0BE6	0x0E16      	MOVLW       hi_addr(_letter_PILCROW)
0x0BE8	0x2002      	ADDWFC      R2, 0 
0x0BEA	0x6EF7      	MOVWF       TBLPTRH 
